party_id,party_name,party_short,party_color
lab,Labour,Lab,#DC241f
con,Conservative,Con,#0087DC
ld,Liberal Democrats,LD,#FAA61A
grn,Green,Green,#6AB023
ref,Reform UK,Reform,#12B6CF
